,session,type,outcome,sponsor_count,section_count,word_count
BILLS-115hr1173ih,115,hr,ih,4,2,317
BILLS-115hr1174eh,115,hr,eh,0,2,492
BILLS-115hr1174ih,115,hr,ih,3,2,507
BILLS-115hr1174rfs,115,hr,rfs,0,2,501
BILLS-115hr1174rh,115,hr,rh,4,2,589
BILLS-115hr1175ih,115,hr,ih,3,21,5545
BILLS-115hr1176ih,115,hr,ih,4,2,3486
BILLS-115hr1177eh,115,hr,eh,0,2,319
BILLS-115hr1177enr,115,hr,enr,0,2,308
BILLS-115hr1177ih,115,hr,ih,1,2,323
BILLS-115hr1177rfs,115,hr,rfs,0,2,299
BILLS-115hr1177rh,115,hr,rh,1,2,427
BILLS-115hr1178ih,115,hr,ih,10,2,354
BILLS-115hr1179ih,115,hr,ih,22,4,594
BILLS-115hr117ih,115,hr,ih,1,2,1098
BILLS-115hr1180eh,115,hr,eh,0,6,1388
BILLS-115hr1180ih,115,hr,ih,1,6,1372
BILLS-115hr1180rds,115,hr,rds,0,6,1374
BILLS-115hr1180rh,115,hr,rh,18,6,1571
BILLS-115hr1181eh,115,hr,eh,0,2,324
BILLS-115hr1181ih,115,hr,ih,3,2,338
BILLS-115hr1181pcs,115,hr,pcs,0,2,372
BILLS-115hr1181rh,115,hr,rh,6,2,442
BILLS-115hr1182ih,115,hr,ih,3,10,2349
BILLS-115hr1183ih,115,hr,ih,11,4,622
BILLS-115hr1184ih,115,hr,ih,3,3,1598
BILLS-115hr1185ih,115,hr,ih,1,3,1479
BILLS-115hr1186ih,115,hr,ih,4,5,2091
BILLS-115hr1187ih,115,hr,ih,1,5,1239
BILLS-115hr1188eh,115,hr,eh,1,13,1303
BILLS-115hr1188ih,115,hr,ih,6,11,1158
BILLS-115hr1188rfs,115,hr,rfs,1,13,1298
BILLS-115hr1188rh,115,hr,rh,10,13,1471
BILLS-115hr1189ih,115,hr,ih,2,15,5301
BILLS-115hr118ih,115,hr,ih,1,2,313
BILLS-115hr1190ih,115,hr,ih,11,2,1120
BILLS-115hr1191ih,115,hr,ih,5,3,866
BILLS-115hr1192ih,115,hr,ih,27,2,1131
BILLS-115hr1193ih,115,hr,ih,1,2,344
BILLS-115hr1194ih,115,hr,ih,21,9,2023
BILLS-115hr1195ih,115,hr,ih,1,2,326
BILLS-115hr1196ih,115,hr,ih,3,6,2579
BILLS-115hr1197ih,115,hr,ih,1,1,405
BILLS-115hr1198ih,115,hr,ih,1,1,426
BILLS-115hr1199ih,115,hr,ih,1,1,558
BILLS-115hr119ih,115,hr,ih,2,3,1793
BILLS-115hr1200ih,115,hr,ih,27,2,566
BILLS-115hr1201eh,115,hr,eh,0,2,477
BILLS-115hr1201ih,115,hr,ih,2,2,491
BILLS-115hr1201pcs,115,hr,pcs,0,2,525
BILLS-115hr1202ih,115,hr,ih,2,6,1984
BILLS-115hr1203ih,115,hr,ih,3,2,592
BILLS-115hr1204ih,115,hr,ih,12,2,567
BILLS-115hr1205ih,115,hr,ih,77,4,651
BILLS-115hr1206ih,115,hr,ih,34,2,456
BILLS-115hr1207eas,115,hr,eas,0,0,90
BILLS-115hr1207eh,115,hr,eh,0,1,188
BILLS-115hr1207enr,115,hr,enr,0,1,189
BILLS-115hr1207ih,115,hr,ih,1,1,195
BILLS-115hr1207rfs,115,hr,rfs,0,1,181
BILLS-115hr1207rs,115,hr,rs,1,1,229
BILLS-115hr1208eh,115,hr,eh,0,1,189
BILLS-115hr1208enr,115,hr,enr,0,1,191
BILLS-115hr1208ih,115,hr,ih,1,1,196
BILLS-115hr1208rfs,115,hr,rfs,0,1,183
BILLS-115hr1208rs,115,hr,rs,1,1,223
BILLS-115hr1209eh,115,hr,eh,0,1,192
BILLS-115hr1209enr,115,hr,enr,0,1,193
BILLS-115hr1209ih,115,hr,ih,1,1,199
BILLS-115hr1209rfs,115,hr,rfs,0,1,184
BILLS-115hr1209rs,115,hr,rs,1,1,225
BILLS-115hr120ih,115,hr,ih,1,2,367
BILLS-115hr1210eh,115,hr,eh,0,1,187
BILLS-115hr1210enr,115,hr,enr,0,1,189
BILLS-115hr1210ih,115,hr,ih,1,1,194
BILLS-115hr1210rds,115,hr,rds,0,1,168
BILLS-115hr1211eh,115,hr,eh,0,1,187
BILLS-115hr1211enr,115,hr,enr,0,1,189
BILLS-115hr1211ih,115,hr,ih,1,1,194
BILLS-115hr1211rds,115,hr,rds,0,1,168
BILLS-115hr1212ih,115,hr,ih,6,2,490
BILLS-115hr1213ih,115,hr,ih,1,3,539
BILLS-115hr1214eh,115,hr,eh,1,2,317
BILLS-115hr1214ih,115,hr,ih,2,2,291
BILLS-115hr1214rfs,115,hr,rfs,1,2,295
BILLS-115hr1214rh,115,hr,rh,3,2,410
BILLS-115hr1215eh,115,hr,eh,0,15,4773
BILLS-115hr1215ih,115,hr,ih,1,12,3939
BILLS-115hr1215rfs,115,hr,rfs,0,15,4761
BILLS-115hr1215rh,115,hr,rh,4,10,3444
BILLS-115hr1216ih,115,hr,ih,9,2,446
BILLS-115hr1217ih,115,hr,ih,1,1,277
BILLS-115hr1218ih,115,hr,ih,1,4,2358
BILLS-115hr1219eh,115,hr,eh,0,2,299
BILLS-115hr1219ih,115,hr,ih,2,2,309
BILLS-115hr1219rfs,115,hr,rfs,0,2,292
BILLS-115hr1219rh,115,hr,rh,5,2,415
BILLS-115hr121ih,115,hr,ih,1,0,307
BILLS-115hr1220eh,115,hr,eh,0,2,682
BILLS-115hr1220ih,115,hr,ih,11,2,723
BILLS-115hr1220rfs,115,hr,rfs,0,2,680
BILLS-115hr1220rh,115,hr,rh,12,2,848
BILLS-115hr1221ih,115,hr,ih,2,6,1268
BILLS-115hr1222eas,115,hr,eas,0,3,772
BILLS-115hr1222eh,115,hr,eh,1,3,841
BILLS-115hr1222enr,115,hr,enr,0,3,794
BILLS-115hr1222ih,115,hr,ih,3,3,964
BILLS-115hr1222rfs,115,hr,rfs,1,3,830
BILLS-115hr1222rh,115,hr,rh,30,3,1060
BILLS-115hr1222rs,115,hr,rs,2,4,1539
BILLS-115hr1223ih,115,hr,ih,3,2,1362
BILLS-115hr1224ih,115,hr,ih,5,3,1665
BILLS-115hr1224rh,115,hr,rh,6,3,1521
BILLS-115hr1225ih,115,hr,ih,14,4,1044
BILLS-115hr1226ih,115,hr,ih,2,2,794
BILLS-115hr1227ih,115,hr,ih,3,4,891
BILLS-115hr1228eh,115,hr,eh,0,1,610
BILLS-115hr1228enr,115,hr,enr,0,1,608
BILLS-115hr1228ih,115,hr,ih,2,1,552
BILLS-115hr1228rds,115,hr,rds,0,1,587
BILLS-115hr1229ih,115,hr,ih,2,3,227
BILLS-115hr122ih,115,hr,ih,1,3,760
BILLS-115hr1230ih,115,hr,ih,2,1,143
BILLS-115hr1231ih,115,hr,ih,4,4,1797
BILLS-115hr1232ih,115,hr,ih,1,2,617
BILLS-115hr1233ih,115,hr,ih,3,2,971
BILLS-115hr1234ih,115,hr,ih,3,2,365
BILLS-115hr1235eh,115,hr,eh,0,7,1515
BILLS-115hr1235enr,115,hr,enr,0,7,1517
BILLS-115hr1235ih,115,hr,ih,3,7,1530
BILLS-115hr1235rfs,115,hr,rfs,0,7,1508
BILLS-115hr1236ih,115,hr,ih,14,2,359
BILLS-115hr1237ih,115,hr,ih,1,1,412
BILLS-115hr1238eas,115,hr,eas,0,0,250
BILLS-115hr1238eh,115,hr,eh,2,2,510
BILLS-115hr1238enr,115,hr,enr,2,2,545
BILLS-115hr1238ih,115,hr,ih,5,2,562
BILLS-115hr1238rfs,115,hr,rfs,2,2,484
BILLS-115hr1238rh,115,hr,rh,5,2,716
BILLS-115hr1239ih,115,hr,ih,8,4,1079
BILLS-115hr123ih,115,hr,ih,2,2,187
BILLS-115hr1240ih,115,hr,ih,3,2,604
BILLS-115hr1241ih,115,hr,ih,7,2,579
BILLS-115hr1242eh,115,hr,eh,0,9,1838
BILLS-115hr1242enr,115,hr,enr,0,9,1851
BILLS-115hr1242ih,115,hr,ih,31,8,1908
BILLS-115hr1242rds,115,hr,rds,0,9,1830
BILLS-115hr1242rh,115,hr,rh,54,8,2059
BILLS-115hr1243ih,115,hr,ih,36,3,1037
BILLS-115hr1244ih,115,hr,ih,10,2,478
BILLS-115hr1245ih,115,hr,ih,19,2,3177
BILLS-115hr1246ih,115,hr,ih,2,2,454
BILLS-115hr1247ih,115,hr,ih,2,1,243
BILLS-115hr1248ih,115,hr,ih,4,4,903
BILLS-115hr1249eh,115,hr,eh,0,3,2068
BILLS-115hr1249ih,115,hr,ih,2,3,2037
BILLS-115hr1249rfs,115,hr,rfs,0,3,2061
BILLS-115hr1249rh,115,hr,rh,2,3,2128
BILLS-115hr124ih,115,hr,ih,2,5,1054
BILLS-115hr1250ih,115,hr,ih,1,2,290
BILLS-115hr1251ih,115,hr,ih,25,2,470
BILLS-115hr1252eh,115,hr,eh,0,5,2586
BILLS-115hr1252ih,115,hr,ih,2,5,2588
BILLS-115hr1252rfs,115,hr,rfs,0,5,2573
BILLS-115hr1252rh,115,hr,rh,2,5,2735
BILLS-115hr1253ih,115,hr,ih,4,4,2076
BILLS-115hr1254ih,115,hr,ih,1,2,470
BILLS-115hr1255ih,115,hr,ih,8,5,2494
BILLS-115hr1256ih,115,hr,ih,2,1,278
